#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:22+0000 #
#####################################################################
#
# seed = 50.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
122.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
123.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
124.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
125.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
126.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
127.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
128.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
129.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
130.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
131.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
132.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
133.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
134.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
135.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
136.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
137.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
138.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
139.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
140.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
141.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
142.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
143.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
144.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
145.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
146.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
147.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
148.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
149.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
