#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T07:36+0000 #
#####################################################################
#
# seed = 32.0, spacing = 0.5, error = 0.1, mode = proactive, delay = 10, throttle = 1
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] 
101.0023047091062 7.577837479702854 40400.0 315272.0
102.00239603248019 7.577837479702854 40801.0 318419.0
103.00206373433906 7.577837479702854 41200.0 321548.0
104.0006898805477 7.577837479702854 41600.0 324686.0
105.00118880326997 7.577837479702854 42000.0 327824.0
106.00239603248019 7.577837479702854 42401.0 330971.0
107.00001464503012 7.577837479702854 42800.0 334100.0
108.00239603248019 7.577837479702854 43201.0 337247.0
109.00239603248019 7.577837479702854 43601.0 340385.0
110.00239603248019 7.577837479702854 44001.0 343523.0
111.00099636109134 7.577837479702854 44400.0 346652.0
112.00239603248019 7.577837479702854 44801.0 349799.0
113.00025670124965 7.577837479702854 45200.0 352928.0
114.00168954416904 7.577837479702854 45600.0 356066.0
115.00011149049041 7.577837479702854 46000.0 359204.0
116.00113039287861 7.577837479702854 46400.0 362342.0
117.00239603248019 7.577837479702854 46801.0 365489.0
118.00190889282102 7.577837479702854 47200.0 368618.0
119.00239603248019 7.577837479702854 47601.0 371765.0
120.00239603248019 7.577837479702854 48001.0 374903.0
121.00239603248019 7.577837479702854 48401.0 378041.0
122.00239603248019 7.577837479702854 48801.0 381179.0
123.00108748793126 7.577837479702854 49200.0 384308.0
124.00109625584757 7.577837479702854 49600.0 387446.0
125.00117927021483 7.577837479702854 50000.0 390584.0
126.00117507724455 7.577837479702854 50400.0 393722.0
127.00239603248019 7.577837479702854 50801.0 396869.0
128.0010274891957 7.577837479702854 51200.0 399998.0
129.00165935342142 7.577837479702854 51600.0 403136.0
130.00066107607887 7.577837479702854 52000.0 406274.0
131.00073962657999 7.577837479702854 52400.0 409412.0
132.0023960324802 7.577837479702854 52801.0 412559.0
133.0023960324802 7.577837479702854 53201.0 415697.0
134.00015743716787 7.577837479702854 53600.0 418826.0
135.0012025187687 7.577837479702854 54000.0 421964.0
136.0001506990105 7.577837479702854 54400.0 425102.0
137.00123543570024 7.577837479702854 54800.0 428240.0
138.0005057374364 7.577837479702854 55200.0 431378.0
139.00237108853466 7.577837479702854 55600.0 434516.0
140.0023960324802 7.577837479702854 56001.0 437663.0
141.00073827348572 7.577837479702854 56400.0 440792.0
142.00216331356583 7.577837479702854 56800.0 443930.0
143.00027497142193 7.577837479702854 57200.0 447068.0
144.0023960324802 7.577837479702854 57601.0 450215.0
145.00096556636103 7.577837479702854 58000.0 453344.0
146.0005909274547 7.577837479702854 58400.0 456482.0
147.00012384500235 7.577837479702854 58800.0 459620.0
148.0003515616143 7.577837479702854 59200.0 462758.0
149.00069579957386 7.577837479702854 59600.0 465896.0
150.0 7.577837479702854 60000.0 469034.0
151.0 7.577983113215298 60400.0 472172.0
152.0 7.5782086201862615 60800.0 475309.0
153.0 7.57908297504146 61200.0 478446.0
154.0 7.5792555031583335 61600.0 481583.0
155.0 7.579751178869686 62000.0 484727.0
156.0 7.581193391705388 62400.0 487874.0
157.0 7.582088153102244 62800.0 491020.0
158.0 7.584996270774562 63200.0 494167.0
159.0 7.587734243338371 63600.0 497319.0
160.0 7.5879208118710215 64000.0 500477.0
161.0 7.590497788385234 64400.0 503640.0
162.0 7.592434131645464 64800.0 506797.0
163.0 7.594023600370894 65200.0 509954.0
164.0 7.594548379693095 65600.0 513115.0
165.0 7.5950024717951745 66000.0 516281.0
166.0 7.594191065808115 66400.0 519448.0
167.0 7.595748891534832 66800.0 522613.0
168.0 7.595170441024218 67200.0 525776.0
169.0 7.595494592228228 67600.0 528937.0
170.0 7.593821852139014 68000.0 532101.0
171.0 7.593733819738699 68400.0 535267.0
172.0 7.591570460907054 68800.0 538432.0
173.0 7.589625970654657 69200.0 541592.0
174.0 7.586455500416017 69600.0 544751.0
175.0 7.583643269781862 70000.0 547913.0
176.0 7.579132216900166 70400.0 551082.0
177.0 7.573662395416792 70800.0 554248.0
178.0 7.570669480477506 71200.0 557409.0
179.0 7.567506366355704 71600.0 560568.0
180.0 7.5627357274185805 72000.0 563731.0
181.0 7.55875448646327 72400.0 566901.0
182.0 7.55416810508643 72800.0 570067.0
183.0 7.5496856086581445 73200.0 573230.0
184.0 7.546719219996963 73600.0 576393.0
185.0 7.53871174011358 74000.0 579559.0
186.0 7.534030966885286 74400.0 582731.0
187.0 7.529915010505215 74800.0 585898.0
188.0 7.526098889767223 75200.0 589062.0
189.0 7.525042734805597 75600.0 592225.0
190.0 7.520984646426215 76000.0 595391.0
191.0 7.520034824906299 76400.0 598564.0
192.0 7.517501916084879 76800.0 601730.0
193.0 7.5173308257029205 77200.0 604893.0
194.0 7.5168105582695475 77600.0 608056.0
195.0 7.5141949359454285 78000.0 611225.0
196.0 7.515383850355478 78400.0 614396.0
197.0 7.514310747791053 78800.0 617559.0
198.0 7.518048688391132 79200.0 620720.0
199.0 7.521777051106414 79600.0 623882.0
200.0 7.5267239554399845 80000.0 627047.0
201.0 7.530399637692126 80400.0 630217.0
202.0 7.5366873033668185 80800.0 633382.0
203.0 7.541305576977882 81200.0 636543.0
204.0 7.54593801233893 81600.0 639704.0
205.0 7.551902254107367 82000.0 642869.0
206.0 7.5574652356568555 82400.0 646038.0
207.0 7.565175963383402 82800.0 649205.0
208.0 7.572527919546758 83200.0 652366.0
209.0 7.5807409201410305 83600.0 655529.0
210.0 7.588634828710318 84000.0 658696.0
211.0 7.595352512696505 84400.0 661869.0
212.0 7.600883371320844 84800.0 665033.0
213.0 7.606637436682677 85200.0 668198.0
214.0 7.612254787236752 85600.0 671363.0
215.0 7.616247388265213 86000.0 674532.0
216.0 7.621953404805224 86400.0 677704.0
217.0 7.6266468731000705 86800.0 680870.0
218.0 7.63232808679016 87200.0 684034.0
219.0 7.638962873103334 87600.0 687198.0
220.0 7.642868281563298 88000.0 690366.0
221.0 7.649635732231265 88400.0 693537.0
222.0 7.653329047247859 88800.0 696704.0
223.0 7.6587515433339455 89200.0 699865.0
224.0 7.662071610274044 89600.0 703029.0
225.0 7.663563410252805 90000.0 706194.0
226.0 7.66731758369276 90400.0 709361.0
227.0 7.669502767639139 90800.0 712522.0
228.0 7.6714944586827345 91200.0 715674.0
229.0 7.673463047483908 91600.0 718822.0
230.0 7.674616581968406 92000.0 721969.0
231.0 7.676671819332966 92400.0 725115.0
232.0 7.678087303192007 92800.0 728256.0
233.0 7.679885443447559 93200.0 731391.0
